periodo,inpc_q_eoq,inpc_q_avg,inflacion_yoy_eoq,inflacion_yoy_avg,PIB_USD_corriente,ingresos_mmxn_USD_corriente,gasto_mmxn_USD_corriente,balance_mmxn_USD_corriente,rfsp_total_miles_mxn_USD_corriente,rfsp_sin_ingresos_rec_miles_USD_corriente,balance_tradicional_miles_USD_corriente,ingresos_totales_miles_USD_corriente,gasto_totales_miles_USD_corriente,incurrimiento_neto_pasivos_miles_USD_corriente,adq_neta_activos_fin_miles_USD_corriente,deuda_total_economia_musd,deuda_bruta_publica_musd,activos_fx_publico_musd,posicion_neta_publico_musd,deuda_publica_lp_musd,deuda_publica_cp_musd,deuda_gob_federal_musd,deuda_organismos_empresas_musd,deuda_banca_desarrollo_musd,endeudamiento_neto_total_musd,endeudamiento_neto_lp_musd,endeudamiento_neto_cp_musd,endeudamiento_neto_gf_musd,endeudamiento_neto_oye_musd,endeudamiento_neto_bd_musd,fuente_bancario_musd,fuente_comercio_ext_musd,fuente_capitales_musd,fuente_ofis_musd,fuente_pidiregas_musd,acreedor_eeuu_musd,acreedor_ofis_musd,acreedor_japon_musd,acreedor_otros_musd,moneda_usd_musd,moneda_canasta_musd,CuentaCorriente,Exportaciones,IngresosTurismo,Remesas,Importaciones,BalanzaBienes,BalanzaServicios,BalanzaIngresoPrimario,BalanzaIngresoSecundario,TasaMXN,TasaUSD,tcn_mean,tcn_eop
2002-01-01,51.1279,50.9654,4.66,4.75,802045.789981895,34.45208712349811,35.00346195204916,-0.7016699401986064,-4187.852526471717,-5298.399626927086,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,134122.8,81799.0,10082.7,71716.3,77054.0,4746.0,59883.0,13872.0,8045.0,1187.9,126.0,1061.9,668.2,743.1,-223.4,14559.0,20199.0,131273.0,50422.0,6099.0,33917.4,16760.8,8262.8,6014.4,71624.9,3881.2,-3627.093766,36677.187,2413.586,2174.435,38121.517,-1431.944326,-520.406919,-3983.80751,2309.064989,6.064491176470589,1.7333,9.1135,9.0771
2002-04-01,51.7626,51.5604,4.94,4.77,838789.7786157144,37.692968725244775,34.47842279539909,3.204544292700444,1398.03648193331,-516.4886931356084,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,129699.2,77950.0,8423.5,69526.5,73659.0,4291.0,57131.0,12867.0,7951.0,-4653.5,-4195.4,-458.1,-3362.8,-1155.5,-135.2,11847.0,20249.0,123898.0,50571.0,6825.0,33107.4,16818.6,7480.0,5557.1,67903.2,4000.3,-2032.123022,41480.504,2144.941,2578.08,42977.609,-1492.583948,-1439.292142,-1807.734396,2707.487464,6.064491176470589,1.75,9.4677,9.7502
2002-07-01,52.422,52.1472,4.95,5.25,805821.1792772302,35.04351973717462,36.47335122567601,-1.0759925195855442,-4301.312004043467,-4301.312004043467,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,129826.8,78891.0,7587.0,71304.0,74672.0,4219.0,57557.0,12631.0,8703.0,829.6,902.7,-73.1,495.5,-236.0,570.1,12309.0,20365.0,123138.0,50387.0,6196.0,34390.0,16819.1,6714.5,5738.0,69483.7,4015.5,-2711.575496,41367.209,2017.51,2552.8111,42925.083,-1571.399636,-1182.674365,-2637.059303,2679.557808,6.064491176470589,1.74,9.8925,10.0554
2002-10-01,53.3099,53.0139,5.7,5.34,795432.2611320904,36.3585331602549,44.617164286838175,-8.74314629061443,-10806.54620014161,-12326.132090315476,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,128713.3,78818.1,7290.0,71528.1,76028.6,2789.5,57879.1,12338.3,8600.7,-606.0,820.5,-1426.5,-81.0,-374.8,-150.2,13391.6,19092.6,126145.3,50892.9,4561.1,34670.4,17542.9,6752.8,5378.5,69804.1,3995.5,-4027.253254,41521.08,2281.948,2509.122,44654.68,-3139.032399,-1416.955874,-2112.152543,2640.887562,6.064491176470589,1.4433,10.1688,10.2103
2003-01-01,54.0129,53.7375,5.64,5.44,748156.5158391955,37.37658914227082,34.456946968506486,2.5186681579944725,-53.70416246845564,-1656.231408472837,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,131968.7,81824.5,7227.6,74596.9,77728.9,4095.6,60417.2,13115.8,8291.5,2152.5,851.2,1301.3,1999.4,429.2,-276.1,13408.1,18094.8,132522.0,52625.4,9008.7,36662.9,17728.4,6561.3,5206.1,72978.2,3818.0,-1700.305073,39051.494,2547.862,3170.126737,39189.409,-137.159866,-709.201785,-4158.363918,3304.420496,6.064491176470589,1.25,10.8181,10.9246
2003-04-01,53.9751,54.0036,4.27,4.74,789449.6023988064,38.487067487948586,35.512787512434,3.410075656132834,1140.620265513811,-382.14352666615656,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,128885.1,80084.2,6302.7,73781.5,76013.1,4071.1,59410.2,12765.4,7908.6,-2052.8,-666.7,-1386.1,-1158.9,-499.6,-394.3,13163.6,17241.9,143750.6,52454.9,8486.7,36982.4,17548.3,5664.9,4614.9,71361.7,3836.4,-506.158152,40244.554,2270.156,3904.647328,41891.13,-1648.796158,-1255.705112,-1638.837297,4037.180415,6.064491176470589,1.2467,10.4552,10.5
2003-07-01,54.5382,54.269,4.04,4.07,766573.92571706,36.14528822452943,37.76412430908276,-1.6407165932178072,-3714.4464259037945,-4004.776105467583,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,126799.9,78090.0,5302.4,72787.6,74638.3,3451.7,57309.3,12497.5,8283.2,-2563.8,-1942.7,-621.1,-2246.4,-686.4,369.0,11066.9,17164.5,144823.6,51904.4,8498.3,36548.6,17171.3,5618.2,4194.9,69812.9,3642.5,-83.157012,41543.041,2154.326,4128.11669,42972.115,-1438.576399,-1448.265473,-1447.554477,4251.239337,6.064491176470589,1.0167,10.7104,10.9285
2003-10-01,55.4298,55.1202,3.98,3.97,758160.9718025282,36.33505963130509,44.676292935433686,-7.848878895703328,-9728.154379816546,-10657.680369052516,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,129162.3,79023.5,5397.9,73625.6,77335.7,1687.8,58358.3,12157.7,8507.5,4.5,1767.1,-1762.6,310.3,-405.9,100.1,10616.1,15974.2,146907.9,52711.2,7758.3,37764.9,17690.4,4980.7,3923.2,70519.5,3720.5,-1742.999421,43927.347,2389.39,3935.795655,46493.19,-2567.283919,-1565.597309,-1668.391307,4058.273114,6.064491176470589,0.9967,11.1854,11.2563
2004-01-01,56.2981,56.0601,4.23,4.32,795110.6632606597,40.37499927144236,35.911813653170135,4.29953181064787,3230.4109065078405,1816.9817678451084,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,129461.4,80881.5,5385.1,75496.4,77200.0,3681.5,59286.7,13365.9,8228.9,1613.8,-377.6,1991.4,831.2,1044.8,-262.2,11083.5,16366.0,149580.2,52996.2,13627.8,38891.2,17189.9,4429.1,3723.1,72191.1,3326.9,-1168.96752,43193.014,2926.646742,3733.861218,43716.898,-516.6843,-964.138148,-3565.86754,3877.722468,6.064491176470589,1.0033,10.9806,11.0044
2004-04-01,56.3317,56.3188,4.37,4.29,815167.8302566175,38.25085143941124,37.17051736251384,0.8383266295470114,5069.902341348603,-1898.3673792001125,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,127985.4,80840.2,3972.2,76868.0,76971.3,3868.9,59515.2,13014.4,8310.6,-1161.8,-1352.4,190.6,-357.7,-915.8,111.7,8871.0,15918.5,150222.5,51713.1,13469.8,39322.3,17083.9,4210.6,3434.1,73306.9,3375.4,1084.074417,47387.843,2613.733873,4968.637676,48507.361,-1128.011544,-1560.447624,-1322.301614,5094.835199,6.064491176470589,1.01,11.3866,11.3843
2004-07-01,57.2979,56.8684,5.06,4.79,813261.457279849,37.51470214233937,36.28347892158147,2.023990620169256,-305.284670002882,-392.92582597531896,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,129227.8,79937.4,4418.1,75519.3,76853.6,3083.8,59465.9,12529.6,7941.9,-956.2,-171.3,-784.9,-107.6,-482.6,-366.0,8449.3,15205.7,150451.7,51417.9,13975.7,40006.7,17082.0,3721.1,3121.6,72583.0,3771.0,-317.844457,47874.258,2417.515145,5028.024585,49821.87,-1961.74234,-1759.623841,-1766.43555,5169.957274,6.064491176470589,1.4333,11.4501,11.486
2004-10-01,58.3071,58.0629,5.19,5.34,853611.019334334,40.865033106736114,49.37478590977311,-8.752576851770106,-11891.36646949766,-13585.115917718726,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,128000.8,79225.8,3512.7,75713.1,77149.1,2076.7,60084.2,11003.4,8138.2,-1182.3,-173.7,-1008.6,301.3,-1616.1,132.5,7955.6,15522.3,152195.0,49774.9,10553.0,39016.3,17053.2,3712.1,2927.9,71219.9,3292.6,-3405.909468,49543.44,2837.660469,4601.224478,54763.523,-5236.881135,-1840.61288,-1019.873834,4691.458381,6.064491176470589,1.95,11.327,11.2079
2005-01-01,58.7671,58.5266,4.39,4.4,845296.8487244624,41.560920694837016,38.6647102758596,2.361760796450678,-151.37384164013022,-328.75049196751223,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,131379.0,79267.9,3704.6,75563.3,75466.1,3801.8,60464.7,11197.8,7605.4,1037.2,-691.2,1728.4,563.2,969.0,-495.0,6903.0,14897.2,154485.5,50222.9,13474.6,39884.7,16615.8,3561.9,2849.0,71623.8,3125.8,-3427.469033,46894.759,3455.566738,4487.522921,48772.027,-1874.076208,-1025.869512,-5168.46474,4640.941427,6.064491176470589,2.47,11.1796,11.1386
2005-04-01,58.7718,58.8588,4.33,4.51,916463.4499407852,43.76136330509246,42.98043372506149,1.3367533934590508,-1322.815067869181,-1558.0387173180286,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,126585.2,75525.0,6172.6,69352.4,72837.1,2687.9,59106.8,9167.7,7250.5,-3892.5,-2778.4,-1114.1,-1437.9,-2134.1,-320.5,7842.6,13054.4,146148.1,48869.7,11881.8,35804.6,16192.7,2473.2,2321.6,67742.4,2992.8,-171.917095,53977.035,3000.845031,5733.860582,54654.7,-683.873088,-2129.999057,-3250.909054,5892.864104,6.064491176470589,2.9433,10.977,10.8292
2005-07-01,59.309,59.1277,3.51,3.97,939092.9444594808,44.299081355520926,39.129528498231394,5.648983545969555,3360.8848591187807,2511.2047000849298,-8374.429363583193,96508.45727345401,107658.62794429276,12642.71138225233,1498.3527262953376,122875.2,73946.2,8753.6,65192.6,72027.9,1918.3,58779.5,8292.5,6874.2,-1574.2,-803.3,-770.9,-311.6,-896.7,-365.9,8877.5,11505.4,143580.5,48034.9,11256.7,34825.7,15930.4,2367.9,2355.1,67097.7,3261.0,69.895537,54183.346,2688.693138,5785.514002,55871.366,-1711.263856,-1693.404079,-2450.937678,5925.50115,6.064491176470589,3.46,10.7147,10.778
